word,meanings
ubiquitous,present appearing or found everywhere; universal; omnipresent
ephemeral,lasting for a very short time; fleeting; transient
meticulous,showing great attention to detail; very careful and precise; fastidious
resilient,able to withstand or recover quickly from difficult conditions; tough; buoyant
elucidate,make something clear; explain; clarify
cacophony,a harsh discordant mixture of sounds; din; noise
benevolent,well meaning and kindly; charitable; warm-hearted
pragmatic,dealing with things sensibly and realistically; practical; down-to-earth
loquacious,tending to talk a great deal; talkative; garrulous
enigmatic,difficult to interpret or understand; mysterious; puzzling
